"species","n","q95","q99","median_lat","mean_lat","warm_flag","kingdom","phylum","class","order","genus","family","species_selection","speciesKey"
"Salvelinus curilus",153,63.72394,63.7261,45.07958,-67.096017,"northern_species","Animalia","Chordata","","Salmoniformes","Salvelinus","Salmonidae","medium",2351251
"Salvelinus malma",155,63.7225,68.5296040000001,45.07958,-67.096017,"northern_species","Animalia","Chordata","","Salmoniformes","Salvelinus","Salmonidae","medium",4284020
"Sarda sarda",1570,41.13435455,43.97406288,26.85,-74.66,"possible_warm_water","Animalia","Chordata","","Perciformes","Sarda","Scombridae","rare",5208593
"Sardinops sagax",122,45.08565,45.086517,44.94295,-67.095717,"northern_species","Animalia","Chordata","","Clupeiformes","Sardinops","Clupeidae","medium",2412583
"Scomber colias",327,45.082517,45.08629158,40.186839,-73.964,"northern_species","Animalia","Chordata","","Perciformes","Scomber","Scombridae","medium",2374161
"Scomber japonicus",448,39.793,41.4602514,34.68674,-76.008335,"southern_range_edge","Animalia","Chordata","","Perciformes","Scomber","Scombridae","rare",7599552
"Scomberesox saurus",24574,44.905408,46.13848837,44.721533,-62.502753,"northern_species","Animalia","Chordata","","Beloniformes","Scomberesox","Scomberesocidae","medium",2369272
"Scophthalmus aquosus",36578,45.86562495,47.49325,41.255333,-68.0125,"northern_species","Animalia","Chordata","","Pleuronectiformes","Scophthalmus","Scophthalmidae","medium",2409401
"Sebastes fasciatus",14606,46.280412,49.302292,43.565589,-67.77,"northern_species","Animalia","Chordata","","Scorpaeniformes","Sebastes","Sebastidae","medium",10689065
"Sebastes koreanus",113,45.08565,45.086517,45.077033,-67.088083,"northern_species","Animalia","Chordata","","Scorpaeniformes","Sebastes","Sebastidae","medium",2335387
"Sebastes mentella",3979,66.323035,69.18686,57.992,-62.34573,"northern_species","Animalia","Chordata","","Scorpaeniformes","Sebastes","Sebastidae","medium",2335427
"Sebastes norvegicus",859,66.683333,68.4471,48.2406,-61.407,"northern_species","Animalia","Chordata","","Scorpaeniformes","Sebastes","Sebastidae","rare",9787268
"Sebastes viviparus",693,45.07958,45.08565,44.751435,-62.638832,"northern_species","Animalia","Chordata","","Scorpaeniformes","Sebastes","Sebastidae","medium",2335390
"Selar crumenophthalmus",1664,40.83622315,43.14337949,20.574671,-75.357945,"southern_range_edge","Animalia","Chordata","","Perciformes","Selar","Carangidae","rare",2391007
"Selene setapinnis",26137,37.9417676,44.694717,28.633056,-96.305556,"tropical","Animalia","Chordata","","Perciformes","Selene","Carangidae","rare",2390733
"Selene vomer",28537,29.973611,35.8156,25.33662,-82.891017,"tropical","Animalia","Chordata","","Perciformes","Selene","Carangidae","rare",2390711
"Seriola dumerili",19549,25.560497,32.0063720800001,24.689567,-81.3905,"tropical","Animalia","Chordata","","Perciformes","Seriola","Carangidae","rare",5961696
"Seriola zonata",1926,41.3564535,44.587852,25.01456,-79.843145,"possible_warm_water","Animalia","Chordata","","Perciformes","Seriola","Carangidae","rare",5961719
"Serranus scriba",12,44.4875,44.5535,43.72,-62.35,"northern_species","Animalia","Chordata","","Perciformes","Serranus","Serranidae","rare",2388714
"Siganus rivulatus",1,46.544144,46.544144,46.544144,-60.206353,"northern_species","Animalia","Chordata","","Perciformes","Siganus","Siganidae","rare",2390185
"Sigmops bathyphilus",290,63.8210055,64.54249974,39.8984125,-64.1244165,"northern_species","Animalia","Chordata","","Stomiiformes","Sigmops","Gonostomatidae","rare",2347421
"Sphoeroides maculatus",3605,41.7952724,43.81533268,37.69,-75.46667,"possible_warm_water","Animalia","Chordata","","Tetraodontiformes","Sphoeroides","Tetraodontidae","rare",2407857
"Sphoeroides pachygaster",100,40.2909135,44.6463663,28.956,-82.6810835,"southern_range_edge","Animalia","Chordata","","Tetraodontiformes","Sphoeroides","Tetraodontidae","rare",2407845
"Sphoeroides spengleri",21285,25.9027078,29.5778032,24.696683,-81.14919,"tropical","Animalia","Chordata","","Tetraodontiformes","Sphoeroides","Tetraodontidae","rare",2407829
"Sphyraena borealis",2279,41.454922,44.500281,36.83,-75.38333,"possible_warm_water","Animalia","Chordata","","Perciformes","Sphyraena","Sphyraenidae","rare",2394241
"Sprattus muelleri",113,45.08565,45.086517,45.077033,-67.088083,"northern_species","Animalia","Chordata","","Clupeiformes","Sprattus","Clupeidae","medium",2413444
"Stegastes partitus",92103,25.498317,25.6573,24.67035,-80.824717,"tropical","Animalia","Chordata","","Perciformes","Stegastes","Pomacentridae","rare",2398881
"Stenotomus chrysops",8886,41.5,43.75816925,39.066355,-74.05,"possible_warm_water","Animalia","Chordata","","Perciformes","Stenotomus","Sparidae","rare",2392447
"Stephanolepis hispidus",22635,35.4508403,41.15,24.73426,-80.653333,"tropical","Animalia","Chordata","","Tetraodontiformes","Stephanolepis","Monacanthidae","rare",5213455
"Stichaeopsis nana",84,50.1112,51.2089,49.2509,-61.40195,"northern_species","Animalia","Chordata","","Perciformes","Stichaeopsis","Stichaeidae","rare",2395006
"Stichaeus punctatus",2157,63.727511,69.25,49.254,-64.2656,"northern_species","Animalia","Chordata","","Perciformes","Stichaeus","Stichaeidae","medium",4284936
"Stomias boa",3858,62.51335,66.364544,42.779167,-62.6833,"northern_species","Animalia","Chordata","","Stomiiformes","Stomias","Stomiidae","rare",2346868
"Strangomera bentincki",227,44.701174,44.701174,44.661633,-63.585033,"northern_species","Animalia","Chordata","","Clupeiformes","Strangomera","Clupeidae","medium",2413034
"Symbolophorus veranyi",472,44.1325,46.08429858,41.665001,-62.6,"northern_species","Animalia","Chordata","","Myctophiformes","Symbolophorus","Myctophidae","rare",2406157
"Syngnathus fuscus",3955,46.6091932,47.48478084,41.260116,-70.6749,"northern_species","Animalia","Chordata","","Syngnathiformes","Syngnathus","Syngnathidae","medium",2332955
"Synodus myops",1522,47.7889105,48.436877,33.63333,-76.78333,"northern_species","Animalia","Chordata","","Aulopiformes","Synodus","Synodontidae","rare",5212618
"Tautoga onitis",1544,42.3447898,44.942492,40.63333,-73.862,"possible_warm_water","Animalia","Chordata","","Perciformes","Tautoga","Labridae","rare",2383615
"Tautogolabrus adspersus",138489,46.004213,46.6243,44.73957,-62.502753,"northern_species","Animalia","Chordata","","Perciformes","Tautogolabrus","Labridae","medium",2382945
"Tenualosa reevesii",332,46.53630505,46.7685483,45.062083,-66.844117,"northern_species","Animalia","Chordata","","Clupeiformes","Tenualosa","Clupeidae","medium",2413389
"Tetragonurus cuvieri",7,46.4174342,46.98741164,39.54814,-67.22164,"northern_species","Animalia","Chordata","","Perciformes","Tetragonurus","Tetragonuridae","rare",5209332
"Tetronarce nobiliana",399,43.9363803,44.84279704,40.9815,-70.641954,"northern_species","Animalia","Chordata","Elasmobranchii","Torpediniformes","Tetronarce","Torpedinidae","rare",2417699
"Thunnus alalunga",26333,43.05,47.46,38.2,-71.95,"possible_warm_water","Animalia","Chordata","","Perciformes","Thunnus","Scombridae","medium",9694948
"Thunnus atlanticus",10734,35,44.936833,27.13,-90.66,"tropical","Animalia","Chordata","","Perciformes","Thunnus","Scombridae","medium",2373969
"Thunnus maccoyii",113,45.08565,45.086517,45.077033,-67.088083,"northern_species","Animalia","Chordata","","Perciformes","Thunnus","Scombridae","medium",2373941
"Thunnus obesus",47511,44.942492,48.05,36.58,-72.98,"northern_species","Animalia","Chordata","","Perciformes","Thunnus","Scombridae","medium",2373996
"Thunnus orientalis",119,45.08565,45.086517,44.942967,-67.095567,"northern_species","Animalia","Chordata","","Perciformes","Thunnus","Scombridae","medium",2374058
"Thunnus thynnus",10878,47.588975,49.318141,36.945,-73.46,"northern_species","Animalia","Chordata","","Perciformes","Thunnus","Scombridae","medium",2373980
"Thunnus tonggol",113,45.08565,45.086517,45.077033,-67.088083,"northern_species","Animalia","Chordata","","Perciformes","Thunnus","Scombridae","medium",2373933
"Trachinotus blochii",200,48.64105,48.693048,48.597957,-63.921611,"northern_species","Animalia","Chordata","","Perciformes","Trachinotus","Carangidae","rare",5210675
