"species","n","q95","q99","median_lat","mean_lat","warm_flag","kingdom","phylum","class","order","genus","family","species_selection","speciesKey"
"Centroscyllium fabricii",12590,51.3355,63.73417637,45.447,-57.824833,"northern_species","Animalia","Chordata","Elasmobranchii","Squaliformes","Centroscyllium","Etmopteridae","rare",2421020
"Ceratoscopelus maderensis",2147,44.1616682,46.434,40.23,-65.8586,"northern_species","Animalia","Chordata","","Myctophiformes","Ceratoscopelus","Myctophidae","rare",2406043
"Cetorhinus maximus",10172,46.089122,49.94903867,42.29665,-68.917765,"northern_species","Animalia","Chordata","Elasmobranchii","Lamniformes","Cetorhinus","Cetorhinidae","medium",2420726
"Chaetodon capistratus",39115,25.472233,25.690317,24.628,-81.092167,"tropical","Animalia","Chordata","","Perciformes","Chaetodon","Chaetodontidae","rare",2385548
"Chaetodon ocellatus",33594,25.548133,33.86690031,24.6674,-81.346325,"tropical","Animalia","Chordata","","Perciformes","Chaetodon","Chaetodontidae","rare",2385448
"Chauliodus sloani",3583,61.2993,65.0027178,39.916115,-64.6,"northern_species","Animalia","Chordata","","Stomiiformes","Chauliodus","Stomiidae","rare",5203203
"Cheilopogon furcatus",315,35.1469128,42.1725838,27.721167,-82.666667,"tropical","Animalia","Chordata","","Beloniformes","Cheilopogon","Exocoetidae","rare",5207977
"Cheilopogon melanurus",531,37.928335,40.734596,26.700001,-80.5325,"tropical","Animalia","Chordata","","Beloniformes","Cheilopogon","Exocoetidae","rare",5207955
"Chlorophthalmus agassizi",2936,43.269,43.87915275,39.618451,-71.55,"northern_species","Animalia","Chordata","","Aulopiformes","Chlorophthalmus","Chlorophthalmidae","rare",2401401
"Citharichthys arctifrons",17061,44.77218,44.905408,40.84814,-67.770333,"northern_species","Animalia","Chordata","","Pleuronectiformes","Citharichthys","Paralichthyidae","medium",2408719
"Clupea pallasii",201,50.0295,67.75,45.0853,-66.842183,"northern_species","Animalia","Chordata","","Clupeiformes","Clupea","Clupeidae","medium",4284072
"Cololabis saira",168,50.1112,51.2089,49.2509,-61.40195,"northern_species","Animalia","Chordata","","Beloniformes","Cololabis","Scomberesocidae","rare",2369261
"Conger oceanicus",1447,41.174733,42.2872,38.968,-73.948,"possible_warm_water","Animalia","Chordata","","Anguilliformes","Conger","Congridae","rare",2403522
"Coryphaena equiselis",480,38.5113334,44.3127,24.78125,-81.9953345,"southern_range_edge","Animalia","Chordata","","Perciformes","Coryphaena","Coryphaenidae","rare",2381960
"Coryphaenoides rupestris",3111,64.0956025,65.648,44.36,-60.609727,"northern_species","Animalia","Chordata","","Gadiformes","Coryphaenoides","Macrouridae","rare",5215150
"Cottunculus microps",3507,72.62397,75.433333,55.79,-58.57,"northern_species","Animalia","Chordata","","Scorpaeniformes","Cottunculus","Psychrolutidae","rare",2334890
"Cottus asper",115,45.08565,45.086517,45.077033,-67.088083,"northern_species","Animalia","Chordata","","Scorpaeniformes","Cottus","Cottidae","medium",2334177
"Cryptacanthodes giganteus",27849,44.905408,44.9424,44.722323,-62.502753,"northern_species","Animalia","Chordata","","Perciformes","Cryptacanthodes","Cryptacanthodidae","medium",2387407
"Cryptacanthodes maculatus",17063,45.067983,49.01440992,44.722323,-62.597518,"northern_species","Animalia","Chordata","","Perciformes","Cryptacanthodes","Cryptacanthodidae","medium",2387415
"Cubiceps pauciradiatus",201,42.349998,43.793667,35.633333,-71.36667,"possible_warm_water","Animalia","Chordata","","Perciformes","Cubiceps","Nomeidae","rare",2381926
"Cyclopterus lumpus",11157,58.77976,63.73977944,47.02,-59.97,"northern_species","Animalia","Chordata","","Scorpaeniformes","Cyclopterus","Cyclopteridae","medium",5962255
"Cyclothone braueri",886,46.879175,64.016667,32.37,-71.5475,"northern_species","Animalia","Chordata","","Stomiiformes","Cyclothone","Gonostomatidae","rare",2347454
"Cyttopsis rosea",255,42.8676669,43.650167,27.28833,-82.75,"possible_warm_water","Animalia","Chordata","","Zeiformes","Cyttopsis","Parazenidae","rare",2415284
"Dactylopterus volitans",4229,32.4502308,42.6987721600001,24.65615,-81.388211,"tropical","Animalia","Chordata","","Scorpaeniformes","Dactylopterus","Dactylopteridae","rare",2333605
"Decapterus macarellus",24153,25.5406798,39.94952316,24.6432,-80.478283,"tropical","Animalia","Chordata","","Perciformes","Decapterus","Carangidae","rare",2391064
"Decapterus punctatus",21656,34.833333,40.8883264,24.7143415,-80.97475,"tropical","Animalia","Chordata","","Perciformes","Decapterus","Carangidae","rare",2391041
"Dibranchus atlanticus",1067,43.9009996,45.4442,29.11667,-80.116389,"northern_species","Animalia","Chordata","","Lophiiformes","Dibranchus","Ogcocephalidae","rare",2414913
"Dicentrarchus labrax",427,46.7848779,63.7225,45.081067,-66.8464,"northern_species","Animalia","Chordata","","Perciformes","Dicentrarchus","Moronidae","medium",2394622
"Diodon holocanthus",22645,25.528003,26.78140112,24.65853,-80.780267,"tropical","Animalia","Chordata","","Tetraodontiformes","Diodon","Diodontidae","rare",5213361
"Dipturus laevis",3959,44.25,45.6394,41.6,-66.849833,"northern_species","Animalia","Chordata","Elasmobranchii","Rajiformes","Dipturus","Rajidae","rare",2420230
"Dorosoma cepedianum",87421,41.75,44.533286,28.628549,-96.514167,"possible_warm_water","Animalia","Chordata","","Clupeiformes","Dorosoma","Clupeidae","rare",2413541
"Engraulis ringens",152,45.08565,45.086517,44.94295,-66.982,"northern_species","Animalia","Chordata","","Clupeiformes","Engraulis","Engraulidae","medium",2414014
"Eopsetta grigorjewi",113,45.08565,45.086517,45.077033,-67.088083,"northern_species","Animalia","Chordata","","Pleuronectiformes","Eopsetta","Pleuronectidae","medium",2409234
"Epinephelus morio",25049,25.501283,26.7095634,24.6842,-81.653083,"tropical","Animalia","Chordata","","Perciformes","Epinephelus","Serranidae","rare",2388373
"Etropus microstomus",1920,40.992723,41.51669354,38.666667,-74.816319,"southern_range_edge","Animalia","Chordata","","Pleuronectiformes","Etropus","Paralichthyidae","rare",2408956
"Etrumeus sadina",2589,41.172715,41.52398488,37.683333,-74.95,"possible_warm_water","Animalia","Chordata","","Clupeiformes","Etrumeus","Dussumieriidae","rare",2413189
"Eumesogrammus praecisus",32307,48.1495401,59.90164,44.73957,-62.502753,"northern_species","Animalia","Chordata","","Perciformes","Eumesogrammus","Stichaeidae","medium",2394920
"Eumicrotremus derjugini",768,71.226895,77.633333,62.12,-67.37925,"northern_species","Animalia","Chordata","","Scorpaeniformes","Eumicrotremus","Cyclopteridae","medium",2336862
"Eumicrotremus spinosus",6059,67.310017,71.467126,49.27,-62,"northern_species","Animalia","Chordata","","Scorpaeniformes","Eumicrotremus","Cyclopteridae","medium",2336857
"Eumicrotremus terraenovae",820,51.77619165,54.3681248199999,49.2804435,-63.6686085,"northern_species","Animalia","Chordata","","Scorpaeniformes","Eumicrotremus","Cyclopteridae","rare",2336860
"Euthynnus alletteratus",18064,25.6859,36.8682287899999,24.6948435,-81.2155,"tropical","Animalia","Chordata","","Perciformes","Euthynnus","Scombridae","medium",5208565
"Fistularia tabacaria",18526,25.55028725,35.1820075,24.6939065,-81.1181965,"tropical","Animalia","Chordata","","Syngnathiformes","Fistularia","Fistulariidae","rare",5200941
"Fritillaria borealis",115,73.692,74.3992,51.41,-59.17,"northern_species","Animalia","Chordata","","Copelata","Fritillaria","Fritillariidae","rare",2332511
"Fundulus heteroclitus",12390,47.746584,47.808815,45.2723865,-65.207023,"northern_species","Animalia","Chordata","","Cyprinodontiformes","Fundulus","Fundulidae","medium",5712056
"Fundulus majalis",2693,41.7494642,42.19215444,38.4488,-76.210282,"possible_warm_water","Animalia","Chordata","","Cyprinodontiformes","Fundulus","Fundulidae","rare",5203628
"Gadus chalcogrammus",140,45.08565,45.086517,44.942933,-67.096017,"northern_species","Animalia","Chordata","","Gadiformes","Gadus","Gadidae","medium",2415769
"Gadus macrocephalus",2593,66.943638,71.8907,49.75,-63.92,"northern_species","Animalia","Chordata","","Gadiformes","Gadus","Gadidae","medium",2415853
"Gaidropsarus ensis",2564,72.623985,74.36416,66.602915,-60.98725,"northern_species","Animalia","Chordata","","Gadiformes","Gaidropsarus","Lotidae","rare",2415583
"Gasterosteus aculeatus",11363,50.270861,60.75,46.22155,-65.207023,"northern_species","Animalia","Chordata","","Gasterosteiformes","Gasterosteus","Gasterosteidae","medium",4286327
"Gasterosteus wheatlandi",4595,50.188167,50.28128,46.42157,-64.29596,"northern_species","Animalia","Chordata","","Gasterosteiformes","Gasterosteus","Gasterosteidae","medium",2356547
"Gempylus serpens",301,39.55067,40.34667,24.43,-84.21,"southern_range_edge","Animalia","Chordata","","Perciformes","Gempylus","Gempylidae","rare",2397775
"Gymnelus hemifasciatus",247,49.89357,65.5976646,49.300476,-67.6983,"northern_species","Animalia","Chordata","","Perciformes","Gymnelus","Zoarcidae","rare",2380932
"Gymnelus retrodorsalis",277,68.732806,76.98000048,60.8996,-66.8518,"northern_species","Animalia","Chordata","","Perciformes","Gymnelus","Zoarcidae","medium",2380941
"Gymnelus viridis",1619,74.666667,76.78680582,62.12302,-68.5129,"northern_species","Animalia","Chordata","","Perciformes","Gymnelus","Zoarcidae","medium",2380942
"Gymnocanthus galeatus",136,63.7225,63.7261,45.078967,-67.096017,"northern_species","Animalia","Chordata","","Scorpaeniformes","Gymnocanthus","Cottidae","medium",2334013
"Gymnocanthus herzensteini",153,63.72394,63.7261,45.07958,-67.096017,"northern_species","Animalia","Chordata","","Scorpaeniformes","Gymnocanthus","Cottidae","medium",2334017
"Gymnocanthus intermedius",133,63.7225,63.7261,45.078967,-67.096017,"northern_species","Animalia","Chordata","","Scorpaeniformes","Gymnocanthus","Cottidae","medium",2334004
"Gymnocanthus tricuspis",6749,71.8905,76.583333,48.521188,-63.182333,"northern_species","Animalia","Chordata","","Scorpaeniformes","Gymnocanthus","Cottidae","medium",2334007
"Halieutichthys aculeatus",1444,34.95119085,39.90143867,28.28333,-87.495,"tropical","Animalia","Chordata","","Lophiiformes","Halieutichthys","Ogcocephalidae","rare",2415008
"Helicolenus dactylopterus",16885,43.265,44.019667,42.558167,-66.477667,"northern_species","Animalia","Chordata","","Scorpaeniformes","Helicolenus","Sebastidae","rare",4286361
"Hemiramphus brasiliensis",23242,25.49563765,26.16961823,24.6344,-81.203814,"tropical","Animalia","Chordata","","Beloniformes","Hemiramphus","Hemiramphidae","rare",2368950
"Hemitripterus villosus",133,63.7225,63.7261,45.078967,-67.096017,"northern_species","Animalia","Chordata","","Scorpaeniformes","Hemitripterus","Hemitripteridae","medium",2335110
"Heteropriacanthus cruentatus",21823,25.483808,25.6993,24.659033,-80.75318,"tropical","Animalia","Chordata","","Perciformes","Heteropriacanthus","Priacanthidae","rare",2375045
"Hexagrammos lagocephalus",2,44.84937415,45.10320843,41.9937385,-81.6574765,"northern_species","Animalia","Chordata","","Scorpaeniformes","Hexagrammos","Hexagrammidae","rare",2336464
"Himantolophus groenlandicus",60,48.57666665,63.59985,30.8166665,-59.8758335,"northern_species","Animalia","Chordata","","Lophiiformes","Himantolophus","Himantolophidae","rare",2415109
"Hippocampus erectus",18616,32.0348315,40.72405905,24.722817,-81.113855,"tropical","Animalia","Chordata","","Syngnathiformes","Hippocampus","Syngnathidae","rare",5201075
"Hippoglossina oblonga",20577,42.380666,43.582258,40.42,-70.37,"possible_warm_water","Animalia","Chordata","","Pleuronectiformes","Hippoglossina","Paralichthyidae","rare",2408805
"Hippoglossoides elassodon",133,63.7225,63.7261,45.078967,-67.096017,"northern_species","Animalia","Chordata","","Pleuronectiformes","Hippoglossoides","Pleuronectidae","medium",2409109
"Hirundichthys affinis",391,34.833349,38.892,21.5,-75.05,"tropical","Animalia","Chordata","","Beloniformes","Hirundichthys","Exocoetidae","rare",2368680
"Hirundichthys rondeletii",411,39.08665,41.67,27.633333,-88.733333,"southern_range_edge","Animalia","Chordata","","Beloniformes","Hirundichthys","Exocoetidae","rare",2368701
"Hoplostethus mediterraneus",211,40.031665,48.4032833,34.233299,-75.799797,"southern_range_edge","Animalia","Chordata","","Beryciformes","Hoplostethus","Trachichthyidae","rare",2357118
"Howella sherborni",266,43.67080875,45.6821787,41.83333,-61.5,"northern_species","Animalia","Chordata","","Perciformes","Howella","Howellidae","rare",5211086
"Hyperoglyphe perciformis",159,44.6292797,47.38,41.21667,-69.51,"northern_species","Animalia","Chordata","","Perciformes","Hyperoglyphe","Centrolophidae","rare",2398160
"Hyporhamphus meeki",668,39.151695,41.52451143,28.493,-80.601185,"southern_range_edge","Animalia","Chordata","","Beloniformes","Hyporhamphus","Hemiramphidae","rare",2368890
"Hyporthodus niveatus",16071,25.5228,28.4759214,24.68783,-81.238167,"tropical","Animalia","Chordata","","Perciformes","Hyporthodus","Serranidae","rare",5788225
"Hypsoblennius hentz",702,40.7288203,41.26105473,34.574,-77.0413,"southern_range_edge","Animalia","Chordata","","Perciformes","Hypsoblennius","Blenniidae","rare",2395566
"Icelus bicornis",2090,75.65749985,79.44066637,58.77996,-63.9761085,"northern_species","Animalia","Chordata","","Scorpaeniformes","Icelus","Cottidae","rare",5201203
"Icelus spatula",2331,72.92915,77.283333,60.217,-66.841983,"northern_species","Animalia","Chordata","","Scorpaeniformes","Icelus","Cottidae","medium",5201205
"Isopsetta isolepis",134,63.7225,63.7261,45.078967,-67.096017,"northern_species","Animalia","Chordata","","Pleuronectiformes","Isopsetta","Pleuronectidae","medium",2409202
"Isurus oxyrinchus",436,46.009818,46.126883,34.9326665,-75.17,"northern_species","Animalia","Chordata","Elasmobranchii","Lamniformes","Isurus","Lamnidae","rare",5216248
"Kareius bicoloratus",226,45.08565,45.086517,45.077033,-67.088083,"northern_species","Animalia","Chordata","","Pleuronectiformes","Kareius","Pleuronectidae","medium",2409229
"Katsuwonus pelamis",3853,38.324,44.699743,26.974999,-89,"southern_range_edge","Animalia","Chordata","","Perciformes","Katsuwonus","Scombridae","rare",2374191
"Lactophrys trigonus",23042,25.5055822,26.16368343,24.650595,-80.6149,"tropical","Animalia","Chordata","","Tetraodontiformes","Lactophrys","Ostraciidae","rare",2408096
"Lamna nasus",4822,48.3036,49.76957749,44.24,-62.93209,"northern_species","Animalia","Chordata","Elasmobranchii","Lamniformes","Lamna","Lamnidae","medium",5216239
"Lampanyctus alatus",769,42.6833204,43.52133312,32.43,-73.06833,"possible_warm_water","Animalia","Chordata","","Myctophiformes","Lampanyctus","Myctophidae","rare",7791680
"Lampanyctus macdonaldi",1066,65.80375,66.71924,60,-59.4225,"northern_species","Animalia","Chordata","","Myctophiformes","Lampanyctus","Myctophidae","rare",2405998
"Lampanyctus photonotus",787,42.7233341,44.12886676,32.22,-63.8,"possible_warm_water","Animalia","Chordata","","Myctophiformes","Lampanyctus","Myctophidae","rare",2406005
"Lepidopsetta bilineata",2,45.2610405,45.5322081,42.210405,-78.87431,"northern_species","Animalia","Chordata","","Pleuronectiformes","Lepidopsetta","Pleuronectidae","rare",5213939
"Lepidopsetta mochigarei",113,45.08565,45.086517,45.077033,-67.088083,"northern_species","Animalia","Chordata","","Pleuronectiformes","Lepidopsetta","Pleuronectidae","medium",5213935
"Lepidopsetta polyxystra",118,45.08565,45.086517,44.942967,-67.095567,"northern_species","Animalia","Chordata","","Pleuronectiformes","Lepidopsetta","Pleuronectidae","medium",5213938
"Lepophidium profundorum",4187,40.927,42.991333,40.01667,-71.57,"southern_range_edge","Animalia","Chordata","","Ophidiiformes","Lepophidium","Ophidiidae","rare",2345611
"Leptagonus decagonus",8426,66.53249975,71.8906,49.8404165,-60.4225,"northern_species","Animalia","Chordata","","Scorpaeniformes","Leptagonus","Agonidae","medium",2337186
"Leptoclinus maculatus",10931,63.75089,69.5,45.721667,-60.338,"northern_species","Animalia","Chordata","","Perciformes","Leptoclinus","Stichaeidae","medium",2394832
"Lestidiops ringens",140,50.0295,50.804236,48.20835,-61.763083,"northern_species","Animalia","Chordata","","Aulopiformes","Lestidiops","Paralepididae","rare",2401500
"Leucoraja garmani",1673,40.39977,41.89978588,37.45,-74.52,"southern_range_edge","Animalia","Chordata","Elasmobranchii","Rajiformes","Leucoraja","Rajidae","rare",2419858
"Limanda aspera",115,45.08565,45.086517,45.077033,-67.088083,"northern_species","Animalia","Chordata","","Pleuronectiformes","Limanda","Pleuronectidae","medium",5213950
"Limanda proboscidea",113,45.08565,45.086517,45.077033,-67.088083,"northern_species","Animalia","Chordata","","Pleuronectiformes","Limanda","Pleuronectidae","medium",5213962
"Limanda punctatissima",690,49.538,63.7225,47.58985,-67.095567,"northern_species","Animalia","Chordata","","Pleuronectiformes","Limanda","Pleuronectidae","medium",5213966
"Liopsetta glacialis",299,46.760357,46.786707,45.0853,-66.838983,"northern_species","Animalia","Chordata","","Pleuronectiformes","Liopsetta","Pleuronectidae","medium",2409263
"Liopsetta pinnifasciata",133,63.7225,63.7261,45.078967,-67.096017,"northern_species","Animalia","Chordata","","Pleuronectiformes","Liopsetta","Pleuronectidae","medium",2409270
"Liparis atlanticus",1539,48.3183431,58.8585124599999,44.321667,-66.63883,"northern_species","Animalia","Chordata","","Scorpaeniformes","Liparis","Liparidae","medium",5201436
"Liparis bathyarcticus",1218,72.69804,72.69804,50.1857665,-68.5128865,"northern_species","Animalia","Chordata","","Scorpaeniformes","Liparis","Liparidae","medium",8318376
"Liparis coheni",306,46.316666,47.7167,45.186167,-65.788333,"northern_species","Animalia","Chordata","","Scorpaeniformes","Liparis","Liparidae","medium",5201462
"Liparis fabricii",4747,74.23914,77.283333,65.055,-65.10498,"northern_species","Animalia","Chordata","","Scorpaeniformes","Liparis","Liparidae","medium",5201468
"Liparis gibbus",2328,70.20916655,73.76893309,48.5452835,-65.34235,"northern_species","Animalia","Chordata","","Scorpaeniformes","Liparis","Liparidae","medium",5201429
"Liparis inquilinus",1688,71.8909,72.69804,44.928,-66.8464,"northern_species","Animalia","Chordata","","Scorpaeniformes","Liparis","Liparidae","medium",5201465
"Liparis liparis",229,50.0295,58.28283328,46.004382,-59.540707,"northern_species","Animalia","Chordata","","Scorpaeniformes","Liparis","Liparidae","rare",5712338
"Liparis miostomus",1019,49.302569,63.7182,44.9424,-63.179877,"northern_species","Animalia","Chordata","","Scorpaeniformes","Liparis","Liparidae","medium",5201511
"Liparis montagui",9,44.298758,44.6386876,43.66139,-70.25583,"northern_species","Animalia","Chordata","","Scorpaeniformes","Liparis","Liparidae","rare",5201512
"Liparis tunicatus",800,76.37333365,80,63.712575,-74.8978335,"northern_species","Animalia","Chordata","","Scorpaeniformes","Liparis","Liparidae","rare",5201492
"Lobotes surinamensis",626,34.634949,39.84584375,27.856197,-83.8960275,"tropical","Animalia","Chordata","","Perciformes","Lobotes","Lobotidae","rare",2379457
"Lophius americanus",47843,45.07958,48.78929986,44.050667,-62.887738,"northern_species","Animalia","Chordata","","Lophiiformes","Lophius","Lophiidae","medium",2415069
"Lophius piscatorius",51,61.7733335,62.18,40.2668,-70.8886,"northern_species","Animalia","Chordata","","Lophiiformes","Lophius","Lophiidae","rare",2415075
"Lophogobius cyprinoides",2100,46.404981,46.569375,24.619195,-81.382338,"northern_species","Animalia","Chordata","","Perciformes","Lophogobius","Gobiidae","medium",2376033
"Lopholatilus chamaeleonticeps",361,40.35883,43.677833,39.68333,-72.19,"southern_range_edge","Animalia","Chordata","","Perciformes","Lopholatilus","Malacanthidae","rare",2389833
"Lumpenus fabricii",252,69,72.78626218,53.8333165,-77.7916665,"northern_species","Animalia","Chordata","","Perciformes","Lumpenus","Stichaeidae","rare",8290461
"Lumpenus lampretaeformis",24247,50.0914832,62.60242,44.77218,-62.48502,"northern_species","Animalia","Chordata","","Perciformes","Lumpenus","Stichaeidae","medium",5211321
"Lutjanus campechanus",3251,30.28,34.875,25.59064,-86.749073,"tropical","Animalia","Chordata","","Perciformes","Lutjanus","Lutjanidae","rare",2384865
"Lutjanus cyanopterus",28383,25.4132189,25.6064172,24.529817,-80.219117,"tropical","Animalia","Chordata","","Perciformes","Lutjanus","Lutjanidae","rare",2385052
"Lycenchelys kolthoffi",345,70.65,77.083333,61.455377,-62.681,"northern_species","Animalia","Chordata","","Perciformes","Lycenchelys","Zoarcidae","rare",2380654
"Lycenchelys paxillus",430,65.55,67.06667,47.9391665,-59.6044165,"northern_species","Animalia","Chordata","","Perciformes","Lycenchelys","Zoarcidae","rare",2380587
"Lycenchelys verrillii",982,49.31648335,49.888638,44.93745,-67.0965,"northern_species","Animalia","Chordata","","Perciformes","Lycenchelys","Zoarcidae","medium",2380616
"Lycodes esmarkii",680,68.4508305,70.53250993,50.71665,-60.341835,"northern_species","Animalia","Chordata","","Perciformes","Lycodes","Zoarcidae","rare",5209392
"Lycodes eudipleurostictus",1311,77.083333,77.083333,68.416667,-60.5,"northern_species","Animalia","Chordata","","Perciformes","Lycodes","Zoarcidae","rare",5209362
"Lycodes lavalaei",2950,62.235087,63.73969,47.766667,-62.3802625,"northern_species","Animalia","Chordata","","Perciformes","Lycodes","Zoarcidae","medium",5209413
"Lycodes nakamurae",375,63.7145,63.723436,49.29887,-67.0988,"northern_species","Animalia","Chordata","","Perciformes","Lycodes","Zoarcidae","medium",5209466
"Lycodes polaris",384,74.650002,76.69015539,48.7833,-67.096017,"northern_species","Animalia","Chordata","","Perciformes","Lycodes","Zoarcidae","medium",5209460
"Lycodes reticulatus",8350,67.5960385,71.133333,48.246528,-52.75,"northern_species","Animalia","Chordata","","Perciformes","Lycodes","Zoarcidae","medium",8406566
"Lycodes tanakae",153,63.72394,63.7261,45.07958,-67.096017,"northern_species","Animalia","Chordata","","Perciformes","Lycodes","Zoarcidae","medium",5209451
"Lycodes terraenovae",883,66.4953,71.25,45.733334,-59.952333,"northern_species","Animalia","Chordata","","Perciformes","Lycodes","Zoarcidae","medium",5209385
"Lycodes toyamensis",113,45.08565,45.086517,45.077033,-67.088083,"northern_species","Animalia","Chordata","","Perciformes","Lycodes","Zoarcidae","medium",5209355
"Lycodes vahlii",10532,62.412725,68.566667,45,-59.5925,"northern_species","Animalia","Chordata","","Perciformes","Lycodes","Zoarcidae","medium",5209425
"Macroramphosus scolopax",588,40.2688345,43.96663866,36.1,-74.8,"southern_range_edge","Animalia","Chordata","","Syngnathiformes","Macroramphosus","Centriscidae","rare",2333513
"Macrourus berglax",9644,67.9149475,71.57,54.18,-55.14,"northern_species","Animalia","Chordata","","Gadiformes","Macrourus","Macrouridae","medium",5215147
"Malacoraja kreffti",646,50.1713,63.7225,48.1891,-63.872484,"northern_species","Animalia","Chordata","Elasmobranchii","Rajiformes","Malacoraja","Rajidae","medium",2419825
"Malacosteus niger",610,63.964657,65.04307,39.83555,-64.923335,"northern_species","Animalia","Chordata","","Stomiiformes","Malacosteus","Stomiidae","rare",2347378
"Mallotus villosus",28299,54.161,63.73969,46.444333,-59.383167,"northern_species","Animalia","Chordata","","Osmeriformes","Mallotus","Osmeridae","medium",5214420
"Mancopsetta maculata",6,46.5381975,46.5403835,44.8081945,-65.918611,"northern_species","Animalia","Chordata","","Pleuronectiformes","Mancopsetta","Achiropsettidae","rare",5712308
"Maurolicus muelleri",1496,44.356667,60.166667,42.20075,-68.6384965,"northern_species","Animalia","Chordata","","Stomiiformes","Maurolicus","Sternoptychidae","rare",2347501
"Maurolicus weitzmani",1385,44.0258,44.54950084,39.96574,-70.35283,"northern_species","Animalia","Chordata","","Stomiiformes","Maurolicus","Sternoptychidae","rare",2347496
"Megalocottus platycephalus",1038,45.07958,63.7182,44.7402,-62.638832,"northern_species","Animalia","Chordata","","Scorpaeniformes","Megalocottus","Cottidae","medium",4286462
"Megalops atlanticus",27690,27.5854309,28.89416526,24.9574165,-81.7208915,"tropical","Animalia","Chordata","","Elopiformes","Megalops","Megalopidae","rare",5203123
"Melanostigma atlanticum",3932,49.73,50.209315,48.5876665,-65.222583,"northern_species","Animalia","Chordata","","Perciformes","Melanostigma","Zoarcidae","rare",5209502
"Menidia menidia",12014,47.739834,47.808815,45.078575,-64.99786,"northern_species","Animalia","Chordata","","Atheriniformes","Menidia","Atherinopsidae","medium",2412304
"Merlangius merlangus",121,45.08565,63.216667,45.077033,-67.088083,"northern_species","Animalia","Chordata","","Gadiformes","Merlangius","Gadidae","medium",2415788
"Merluccius albidus",4927,44.332667,45.06669116,42.5003,-65.38,"northern_species","Animalia","Chordata","","Gadiformes","Merluccius","Merlucciidae","rare",2415661
"Merluccius merluccius",402,46.569375,46.77803,45.067983,-66.782067,"northern_species","Animalia","Chordata","","Gadiformes","Merluccius","Merlucciidae","medium",2415643
"Micromesistius poutassou",243,63.2137,64.9894486,45.03271,-66.8518,"northern_species","Animalia","Chordata","","Gadiformes","Micromesistius","Gadidae","medium",2415777
"Mobula rochebrunei",622,46.77803,63.7225,45.0295265,-63.743195,"northern_species","Animalia","Chordata","Elasmobranchii","Myliobatiformes","Mobula","Myliobatidae","medium",2419224
"Mola mola",12876,43.9393865,46.044856,40.74983,-69.940625,"northern_species","Animalia","Chordata","","Tetraodontiformes","Mola","Molidae","medium",5213725
"Morone americana",16551,46.70489,46.75675,41.5609,-79.400002,"northern_species","Animalia","Chordata","","Perciformes","Morone","Moronidae","medium",2394604
"Mugil cephalus",67939,29.9867503,32.2426649799996,28.148611,-96.802778,"tropical","Animalia","Chordata","","Mugiliformes","Mugil","Mugilidae","rare",8189568
"Mugil curema",61636,29.827778,32.84004785,28.104167,-96.85,"tropical","Animalia","Chordata","","Mugiliformes","Mugil","Mugilidae","rare",2400641
"Mullus auratus",632,40.4484985,41.521853,29.8316665,-80.55,"southern_range_edge","Animalia","Chordata","","Perciformes","Mullus","Mullidae","rare",2396865
"Mustelus canis",7372,41.2710275,41.74001095,38.970736,-74.5575335,"possible_warm_water","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Mustelus","Triakidae","rare",2418312
"Myctophum punctatum",1002,60.3,64.62765654,42.961167,-61.0583,"northern_species","Animalia","Chordata","","Myctophiformes","Myctophum","Myctophidae","rare",2405855
"Myoxocephalus aenaeus",5684,49.300324,50.2136721,44.773007,-64.1632595,"northern_species","Animalia","Chordata","","Scorpaeniformes","Myoxocephalus","Cottidae","medium",2333799
"Myoxocephalus brandtii",133,63.7225,63.7261,45.078967,-67.096017,"northern_species","Animalia","Chordata","","Scorpaeniformes","Myoxocephalus","Cottidae","medium",2333793
"Myoxocephalus jaok",133,63.7225,63.7261,45.078967,-67.096017,"northern_species","Animalia","Chordata","","Scorpaeniformes","Myoxocephalus","Cottidae","medium",2333814
"Myoxocephalus ochotensis",133,63.7225,63.7261,45.078967,-67.096017,"northern_species","Animalia","Chordata","","Scorpaeniformes","Myoxocephalus","Cottidae","medium",2333776
"Myoxocephalus polyacanthocephalus",381,63.7145,63.72322,48.615831,-67.09731,"northern_species","Animalia","Chordata","","Scorpaeniformes","Myoxocephalus","Cottidae","medium",2333818
"Myoxocephalus quadricornis",17043,58.77996,72.76,44.73957,-62.597518,"northern_species","Animalia","Chordata","","Scorpaeniformes","Myoxocephalus","Cottidae","medium",2334327
"Myoxocephalus scorpioides",1040,72.69804,74.53888,62.14643,-77.967613,"northern_species","Animalia","Chordata","","Scorpaeniformes","Myoxocephalus","Cottidae","rare",2333780
"Myoxocephalus stelleri",133,63.7225,63.7261,45.078967,-67.096017,"northern_species","Animalia","Chordata","","Scorpaeniformes","Myoxocephalus","Cottidae","medium",2333807
"Naucrates ductor",123,43.3443337,45.57930196,39.33,-70.1167,"northern_species","Animalia","Chordata","","Perciformes","Naucrates","Carangidae","rare",2391379
"Nemichthys scolopaceus",2118,45.05422505,62.45922,42.16667,-64.051,"northern_species","Animalia","Chordata","","Anguilliformes","Nemichthys","Nemichthyidae","rare",2403686
"Nezumia bairdii",18772,52.189,63.3568716,46.3,-59.4,"northern_species","Animalia","Chordata","","Gadiformes","Nezumia","Macrouridae","medium",2416930
