"speciesKey","kingdom","phylum","class","order","family","genus","species"
5210413,"Animalia","Chordata","","Perciformes","Pholidae","Pholis","Pholis fasciata"
2332511,"Animalia","Chordata","","Copelata","Fritillariidae","Fritillaria","Fritillaria borealis"
2336371,"Animalia","Chordata","","Scorpaeniformes","Liparidae","Paraliparis","Paraliparis calidus"
2345611,"Animalia","Chordata","","Ophidiiformes","Ophidiidae","Lepophidium","Lepophidium profundorum"
2381926,"Animalia","Chordata","","Perciformes","Nomeidae","Cubiceps","Cubiceps pauciradiatus"
2385548,"Animalia","Chordata","","Perciformes","Chaetodontidae","Chaetodon","Chaetodon capistratus"
2403522,"Animalia","Chordata","","Anguilliformes","Congridae","Conger","Conger oceanicus"
2406108,"Animalia","Chordata","","Myctophiformes","Myctophidae","Notoscopelus","Notoscopelus kroyeri"
2407103,"Animalia","Chordata","","Tetraodontiformes","Balistidae","Balistes","Balistes vetula"
2415264,"Animalia","Chordata","","Zeiformes","Grammicolepididae","Xenolepidichthys","Xenolepidichthys dalgleishi"
2415968,"Animalia","Chordata","","Gadiformes","Macrouridae","Trachyrincus","Trachyrincus murrayi"
5201545,"Animalia","Chordata","","Scorpaeniformes","Triglidae","Prionotus","Prionotus evolans"
5204034,"Animalia","Chordata","","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus kisutch"
5209174,"Animalia","Chordata","","Perciformes","Acanthuridae","Acanthurus","Acanthurus chirurgus"
5210431,"Animalia","Chordata","","Perciformes","Pholidae","Pholis","Pholis clemensi"
5210468,"Animalia","Chordata","","Perciformes","Carangidae","Trachurus","Trachurus lathami"
5712308,"Animalia","Chordata","","Pleuronectiformes","Achiropsettidae","Mancopsetta","Mancopsetta maculata"
5961696,"Animalia","Chordata","","Perciformes","Carangidae","Seriola","Seriola dumerili"
8189568,"Animalia","Chordata","","Mugiliformes","Mugilidae","Mugil","Mugil cephalus"
2334273,"Animalia","Chordata","","Scorpaeniformes","Cottidae","Artediellus","Artediellus scaber"
2347378,"Animalia","Chordata","","Stomiiformes","Stomiidae","Malacosteus","Malacosteus niger"
2347454,"Animalia","Chordata","","Stomiiformes","Gonostomatidae","Cyclothone","Cyclothone braueri"
2368701,"Animalia","Chordata","","Beloniformes","Exocoetidae","Hirundichthys","Hirundichthys rondeletii"
2380654,"Animalia","Chordata","","Perciformes","Zoarcidae","Lycenchelys","Lycenchelys kolthoffi"
2380932,"Animalia","Chordata","","Perciformes","Zoarcidae","Gymnelus","Gymnelus hemifasciatus"
2385052,"Animalia","Chordata","","Perciformes","Lutjanidae","Lutjanus","Lutjanus cyanopterus"
2395006,"Animalia","Chordata","","Perciformes","Stichaeidae","Stichaeopsis","Stichaeopsis nana"
2399410,"Animalia","Chordata","","Perciformes","Ariommatidae","Ariomma","Ariomma bondi"
2401500,"Animalia","Chordata","","Aulopiformes","Paralepididae","Lestidiops","Lestidiops ringens"
2406005,"Animalia","Chordata","","Myctophiformes","Myctophidae","Lampanyctus","Lampanyctus photonotus"
2406339,"Animalia","Chordata","","Myctophiformes","Myctophidae","Protomyctophum","Protomyctophum arcticum"
2406739,"Animalia","Chordata","","Tetraodontiformes","Monacanthidae","Aluterus","Aluterus heudelotii"
2406961,"Animalia","Chordata","","Tetraodontiformes","Monacanthidae","Cantherhines","Cantherhines pullus"
2407845,"Animalia","Chordata","","Tetraodontiformes","Tetraodontidae","Sphoeroides","Sphoeroides pachygaster"
2408096,"Animalia","Chordata","","Tetraodontiformes","Ostraciidae","Lactophrys","Lactophrys trigonus"
2410854,"Animalia","Chordata","","Osmeriformes","Osmeridae","Osmerus","Osmerus eperlanus"
2415075,"Animalia","Chordata","","Lophiiformes","Lophiidae","Lophius","Lophius piscatorius"
2415247,"Animalia","Chordata","","Zeiformes","Zeidae","Zenopsis","Zenopsis conchifer"
2418312,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Triakidae","Mustelus","Mustelus canis"
2420305,"Animalia","Chordata","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja","Bathyraja spinicauda"
5203123,"Animalia","Chordata","","Elopiformes","Megalopidae","Megalops","Megalops atlanticus"
5207977,"Animalia","Chordata","","Beloniformes","Exocoetidae","Cheilopogon","Cheilopogon furcatus"
5211086,"Animalia","Chordata","","Perciformes","Howellidae","Howella","Howella sherborni"
5211228,"Animalia","Chordata","","Perciformes","Bathymasteridae","Rathbunella","Rathbunella hypoplecta"
5212745,"Animalia","Chordata","","Aulopiformes","Paralepididae","Paralepis","Paralepis coregonoides"
5213883,"Animalia","Chordata","","Pleuronectiformes","Bothidae","Bothus","Bothus ocellatus"
5216248,"Animalia","Chordata","Elasmobranchii","Lamniformes","Lamnidae","Isurus","Isurus oxyrinchus"
7599552,"Animalia","Chordata","","Perciformes","Scombridae","Scomber","Scomber japonicus"
2335095,"Animalia","Chordata","","Scorpaeniformes","Hemitripteridae","Blepsias","Blepsias cirrhosus"
2336464,"Animalia","Chordata","","Scorpaeniformes","Hexagrammidae","Hexagrammos","Hexagrammos lagocephalus"
2346841,"Animalia","Chordata","","Stomiiformes","Phosichthyidae","Vinciguerria","Vinciguerria nimbaria"
2347421,"Animalia","Chordata","","Stomiiformes","Gonostomatidae","Sigmops","Sigmops bathyphilus"
2347567,"Animalia","Chordata","","Stomiiformes","Sternoptychidae","Argyropelecus","Argyropelecus hemigymnus"
2357118,"Animalia","Chordata","","Beryciformes","Trachichthyidae","Hoplostethus","Hoplostethus mediterraneus"
2368680,"Animalia","Chordata","","Beloniformes","Exocoetidae","Hirundichthys","Hirundichthys affinis"
2368890,"Animalia","Chordata","","Beloniformes","Hemiramphidae","Hyporhamphus","Hyporhamphus meeki"
2368950,"Animalia","Chordata","","Beloniformes","Hemiramphidae","Hemiramphus","Hemiramphus brasiliensis"
2369583,"Animalia","Chordata","","Perciformes","Bramidae","Pterycombus","Pterycombus brama"
2374191,"Animalia","Chordata","","Perciformes","Scombridae","Katsuwonus","Katsuwonus pelamis"
2375036,"Animalia","Chordata","","Perciformes","Priacanthidae","Priacanthus","Priacanthus arenatus"
2375267,"Animalia","Chordata","","Perciformes","Echeneidae","Remora","Remora remora"
2375292,"Animalia","Chordata","","Perciformes","Echeneidae","Remora","Remora brachyptera"
2379457,"Animalia","Chordata","","Perciformes","Lobotidae","Lobotes","Lobotes surinamensis"
2381886,"Animalia","Chordata","","Perciformes","Nomeidae","Nomeus","Nomeus gronovii"
2385178,"Animalia","Chordata","","Perciformes","Lutjanidae","Pristipomoides","Pristipomoides aquilonaris"
2387923,"Animalia","Chordata","","Perciformes","Serranidae","Anthias","Anthias nicholsi"
2388373,"Animalia","Chordata","","Perciformes","Serranidae","Epinephelus","Epinephelus morio"
2388714,"Animalia","Chordata","","Perciformes","Serranidae","Serranus","Serranus scriba"
2389708,"Animalia","Chordata","","Perciformes","Caproidae","Capros","Capros aper"
2389833,"Animalia","Chordata","","Perciformes","Malacanthidae","Lopholatilus","Lopholatilus chamaeleonticeps"
2390185,"Animalia","Chordata","","Perciformes","Siganidae","Siganus","Siganus rivulatus"
2390711,"Animalia","Chordata","","Perciformes","Carangidae","Selene","Selene vomer"
2391379,"Animalia","Chordata","","Perciformes","Carangidae","Naucrates","Naucrates ductor"
2395566,"Animalia","Chordata","","Perciformes","Blenniidae","Hypsoblennius","Hypsoblennius hentz"
2396783,"Animalia","Chordata","","Perciformes","Mullidae","Upeneus","Upeneus parvus"
2396813,"Animalia","Chordata","","Perciformes","Mullidae","Pseudupeneus","Pseudupeneus maculatus"
2397775,"Animalia","Chordata","","Perciformes","Gempylidae","Gempylus","Gempylus serpens"
2398881,"Animalia","Chordata","","Perciformes","Pomacentridae","Stegastes","Stegastes partitus"
2401111,"Animalia","Chordata","","Aulopiformes","Anotopteridae","Anotopterus","Anotopterus pharao"
2401692,"Animalia","Chordata","","Aulopiformes","Alepisauridae","Alepisaurus","Alepisaurus ferox"
2403228,"Animalia","Chordata","","Anguilliformes","Congridae","Ariosoma","Ariosoma anale"
2403686,"Animalia","Chordata","","Anguilliformes","Nemichthyidae","Nemichthys","Nemichthys scolopaceus"
2405532,"Animalia","Chordata","","Notacanthiformes","Notacanthidae","Notacanthus","Notacanthus chemnitzii"
2405998,"Animalia","Chordata","","Myctophiformes","Myctophidae","Lampanyctus","Lampanyctus macdonaldi"
2406106,"Animalia","Chordata","","Myctophiformes","Myctophidae","Notoscopelus","Notoscopelus resplendens"
2406157,"Animalia","Chordata","","Myctophiformes","Myctophidae","Symbolophorus","Symbolophorus veranyi"
2408956,"Animalia","Chordata","","Pleuronectiformes","Paralichthyidae","Etropus","Etropus microstomus"
2410971,"Animalia","Chordata","","Osmeriformes","Bathylagidae","Bathylagus","Bathylagus euryops"
2412699,"Animalia","Chordata","","Clupeiformes","Clupeidae","Alosa","Alosa mediocris"
2413541,"Animalia","Chordata","","Clupeiformes","Clupeidae","Dorosoma","Dorosoma cepedianum"
2413913,"Animalia","Chordata","","Clupeiformes","Engraulidae","Anchoa","Anchoa hepsetus"
2414913,"Animalia","Chordata","","Lophiiformes","Ogcocephalidae","Dibranchus","Dibranchus atlanticus"
2415008,"Animalia","Chordata","","Lophiiformes","Ogcocephalidae","Halieutichthys","Halieutichthys aculeatus"
2415109,"Animalia","Chordata","","Lophiiformes","Himantolophidae","Himantolophus","Himantolophus groenlandicus"
2415284,"Animalia","Chordata","","Zeiformes","Parazenidae","Cyttopsis","Cyttopsis rosea"
2417892,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Rhizoprionodon","Rhizoprionodon terraenovae"
2420418,"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Rajella","Rajella fyllae"
2420454,"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Amblyraja","Amblyraja hyperborea"
5201512,"Animalia","Chordata","","Scorpaeniformes","Liparidae","Liparis","Liparis montagui"
5203203,"Animalia","Chordata","","Stomiiformes","Stomiidae","Chauliodus","Chauliodus sloani"
5203628,"Animalia","Chordata","","Cyprinodontiformes","Fundulidae","Fundulus","Fundulus majalis"
5207955,"Animalia","Chordata","","Beloniformes","Exocoetidae","Cheilopogon","Cheilopogon melanurus"
