"input_name","matched_name","speciesKey","status","FAO_region","in_study_region","country","overlaps"
"Lampanyctus macdonaldi","Lampanyctus macdonaldi",NA,"aquamaps_no_raster","Atlantic, Northwest_Atlantic, Northeast_Atlantic, Southwest_Atlantic, Southeast_Atlantic, Antarctic_Indian Ocean, Western_Indian Ocean, Eastern_Indian Ocean, Antarctic and Southern_Pacific, Southwest_Pacific, Southeast_Pacific, Antarctic",TRUE,NA,NA
"Lepidopsetta bilineata","Lepidopsetta bilineata","Fis-55090","aquamaps_outside_bbox","Pacific, Northwest_Pacific, Northeast_Pacific, Eastern Central",FALSE,NA,FALSE
"Liparis montagui","Liparis montagui","Fis-23599","aquamaps_outside_bbox","Atlantic, Northeast",FALSE,NA,FALSE
"Lophius piscatorius","Lophius piscatorius","Fis-29433","aquamaps_outside_bbox","Atlantic, Northwest_Atlantic, Northeast_Atlantic, Eastern Central_Mediterranean and Black Sea",TRUE,NA,FALSE
"Mancopsetta maculata","Mancopsetta maculata","Fis-133769","aquamaps_outside_bbox","Atlantic, Southwest_Atlantic, Antarctic_Indian Ocean, Antarctic and Southern_Pacific, Southeast_Pacific, Antarctic",FALSE,NA,FALSE
"Notoscopelus elongatus","Notoscopelus elongatus","Fis-23196","aquamaps_outside_bbox","Mediterranean and Black Sea",FALSE,NA,FALSE
"Oncorhynchus kisutch","Oncorhynchus kisutch","Fis-22917","aquamaps_outside_bbox","Arctic Sea_Atlantic, Northeast_Pacific, Northwest_Pacific, Northeast_Pacific, Eastern Central",FALSE,NA,FALSE
"Osmerus eperlanus","Osmerus eperlanus","Fis-23705","aquamaps_outside_bbox","Atlantic, Northwest_Atlantic, Northeast_Pacific, Northeast",TRUE,NA,FALSE
"Pholis clemensi","Pholis clemensi","Fis-30485","aquamaps_outside_bbox","Pacific, Northeast_Pacific, Eastern Central",FALSE,NA,FALSE
"Pholis ornata","Pholis ornata","Fis-24895","aquamaps_outside_bbox","Pacific, Northwest_Pacific, Northeast_Pacific, Eastern Central",FALSE,NA,FALSE
"Salmo trutta","Salmo trutta","Fis-21630","aquamaps_outside_bbox","Atlantic, Northwest_Atlantic, Northeast_Mediterranean and Black Sea_Pacific, Northeast",TRUE,NA,FALSE
"Sarda sarda","Sarda lineolata","Fis-1099","aquamaps_outside_bbox","Atlantic, Northwest_Atlantic, Northeast_Atlantic, Western Central_Atlantic, Eastern Central_Mediterranean and Black Sea_Atlantic, Southwest_Atlantic, Southeast_Indian Ocean, Western",TRUE,NA,FALSE
"Serranus scriba","Serranus scriba","Fis-23811","aquamaps_outside_bbox","Atlantic, Northeast_Atlantic, Eastern Central_Mediterranean and Black Sea",FALSE,NA,FALSE
"Siganus rivulatus","Siganus rivulatus","Fis-31011","aquamaps_outside_bbox","Mediterranean and Black Sea_Indian Ocean, Western",FALSE,NA,FALSE
"Synodus myops","Trachinocephalus myops","Fis-24378","fishbase_synonym_corrected",NA,NA,NA,NA
"Trachinotus blochii","Trachinotus blochii","Fis-23862","aquamaps_outside_bbox","Indian Ocean, Western_Indian Ocean, Eastern_Pacific, Northwest_Pacific, Western Central_Pacific, Eastern Central_Pacific, Southwest",FALSE,NA,FALSE
"Vinciguerria nimbaria","Vinciguerria nimbaria",NA,"aquamaps_no_raster","Atlantic, Northwest_Atlantic, Northeast_Atlantic, Western Central_Atlantic, Eastern Central_Atlantic, Southwest_Atlantic, Southeast_Indian Ocean, Western_Indian Ocean, Eastern_Pacific, Northwest_Pacific, Western Central_Pacific, Eastern Central_Pacific, Southwest_Pacific, Southeast",TRUE,NA,NA
